t,y,u,ref,a1_est,a2_est,b1_est,b2_est,Kp,Ki,Kd
13.540000000000001,0.026934916691699434,0.10793330821236652,0.0,-2.0367995984113536,1.0047871558738175,0.0002811176248254162,0.0002796065128582446,106.82506265834547,64.87018900029506,11.5324780444969
13.56,0.02646055144904217,0.20872288615572976,0.0,-2.0367995984113536,1.0047871558738175,0.0002811176248254162,0.0002796065128582446,106.82506265834547,64.87018900029506,11.5324780444969
13.58,0.02614469315076883,0.30030042017281877,0.0,-2.0367995984113536,1.0047871558738175,0.0002811176248254162,0.0002796065128582446,106.82506265834547,64.87018900029506,11.5324780444969
13.6,0.02594793580650578,0.381623211402254,0.0,-2.0367995984113536,1.0047871558738175,0.0002811176248254162,0.0002796065128582446,106.82506265834547,64.87018900029506,11.5324780444969
13.620000000000001,0.025836917754196203,0.45272394086627843,0.0,-2.0367995984113536,1.0047871558738175,0.0002811176248254162,0.0002796065128582446,106.82506265834547,64.87018900029506,11.5324780444969
13.64,0.025784333935946587,0.29935246385996545,0.0,-2.0305062293735854,1.0032838567335824,0.0002776793595402083,0.0002764563589996315,99.35386294753737,65.51483609579738,11.6470819725862
13.66,0.02583139612860804,0.3959043310356111,0.0,-2.0305062293735854,1.0032838567335824,0.0002776793595402083,0.0002764563589996315,99.35386294753737,65.51483609579738,11.6470819725862
13.68,0.026011873019630063,0.5256132756875966,0.0,-2.0305062293735854,1.0032838567335824,0.0002776793595402083,0.0002764563589996315,99.35386294753737,65.51483609579738,11.6470819725862
13.700000000000001,0.026276834406047972,0.635568555109147,0.0,-2.0305062293735854,1.0032838567335824,0.0002776793595402083,0.0002764563589996315,99.35386294753737,65.51483609579738,11.6470819725862
13.72,0.02657321377397298,0.7181301754105748,0.0,-2.0305062293735854,1.0032838567335824,0.0002776793595402083,0.0002764563589996315,99.35386294753737,65.51483609579738,11.6470819725862
13.74,0.026861135008263603,0.7770066906215001,0.0,-2.0305062293735854,1.0032838567335824,0.0002776793595402083,0.0002764563589996315,99.35386294753737,65.51483609579738,11.6470819725862
13.76,0.02711475259260081,0.8177560776261559,0.0,-2.0305062293735854,1.0032838567335824,0.0002776793595402083,0.0002764563589996315,99.35386294753737,65.51483609579738,11.6470819725862
13.780000000000001,0.027319320865045724,0.8453130744890761,0.0,-2.0305062293735854,1.0032838567335824,0.0002776793595402083,0.0002764563589996315,99.35386294753737,65.51483609579738,11.6470819725862
13.8,0.027467978385193777,0.8635141196502398,0.0,-2.0305062293735854,1.0032838567335824,0.0002776793595402083,0.0002764563589996315,99.35386294753737,65.51483609579738,11.6470819725862
13.82,0.02755909011070491,0.8751649776049375,0.0,-2.0305062293735854,1.0032838567335824,0.0002776793595402083,0.0002764563589996315,99.35386294753737,65.51483609579738,11.6470819725862
13.84,0.02759424997778569,0.6755711110703094,0.0,-2.024425122492155,1.001517796414102,0.00027447179464382354,0.00027368008256329533,92.46767971817852,66.10118067052703,11.751321008093694
13.86,0.027637345582680318,0.7207560552575862,0.0,-2.024425122492155,1.001517796414102,0.00027447179464382354,0.00027368008256329533,92.46767971817852,66.10118067052703,11.751321008093694
13.88,0.027741362143676694,0.802844046690881,0.0,-2.024425122492155,1.001517796414102,0.00027447179464382354,0.00027368008256329533,92.46767971817852,66.10118067052703,11.751321008093694
13.9,0.027876058973509216,0.8701786426081011,0.0,-2.024425122492155,1.001517796414102,0.00027447179464382354,0.00027368008256329533,92.46767971817852,66.10118067052703,11.751321008093694
13.92,0.028003717179060496,0.9148688193771907,0.0,-2.024425122492155,1.001517796414102,0.00027447179464382354,0.00027368008256329533,92.46767971817852,66.10118067052703,11.751321008093694
13.94,0.02809630970064509,0.9399712144482771,0.0,-2.024425122492155,1.001517796414102,0.00027447179464382354,0.00027368008256329533,92.46767971817852,66.10118067052703,11.751321008093694
13.96,0.028136722995770427,0.9502468082788456,0.0,-2.024425122492155,1.001517796414102,0.00027447179464382354,0.00027368008256329533,92.46767971817852,66.10118067052703,11.751321008093694
13.98,0.028116349513860096,0.949817151159366,0.0,-2.024425122492155,1.001517796414102,0.00027447179464382354,0.00027368008256329533,92.46767971817852,66.10118067052703,11.751321008093694
14.0,0.028032427342254196,0.941777540948915,0.0,-2.024425122492155,1.001517796414102,0.00027447179464382354,0.00027368008256329533,92.46767971817852,66.10118067052703,11.751321008093694
14.02,0.02788590942670401,0.928316065962888,0.0,-2.024425122492155,1.001517796414102,0.00027447179464382354,0.00027368008256329533,92.46767971817852,66.10118067052703,11.751321008093694
14.040000000000001,0.027679927218668694,0.7424590835176565,0.0,-2.019605346392213,1.0001687093618379,0.0002719443101558352,0.0002714695830065032,86.80874487871381,66.57534331934853,11.835616590106406
14.06,0.027468054338877692,0.7571545810897431,0.0,-2.019605346392213,1.0001687093618379,0.0002719443101558352,0.0002714695830065032,86.80874487871381,66.57534331934853,11.835616590106406
14.08,0.02729436978576381,0.8010190034509628,0.0,-2.019605346392213,1.0001687093618379,0.0002719443101558352,0.0002714695830065032,86.80874487871381,66.57534331934853,11.835616590106406
14.1,0.027134753522691346,0.8316183709750242,0.0,-2.019605346392213,1.0001687093618379,0.0002719443101558352,0.0002714695830065032,86.80874487871381,66.57534331934853,11.835616590106406
14.120000000000001,0.02695934353131607,0.8429413751737643,0.0,-2.019605346392213,1.0001687093618379,0.0002719443101558352,0.0002714695830065032,86.80874487871381,66.57534331934853,11.835616590106406
14.14,0.026746555537454014,0.83796315353478,0.0,-2.019605346392213,1.0001687093618379,0.0002719443101558352,0.0002714695830065032,86.80874487871381,66.57534331934853,11.835616590106406
14.16,0.02648386782671572,0.8208933190851847,0.0,-2.019605346392213,1.0001687093618379,0.0002719443101558352,0.0002714695830065032,86.80874487871381,66.57534331934853,11.835616590106406
14.18,0.02616567597830582,0.7952649766905722,0.0,-2.019605346392213,1.0001687093618379,0.0002719443101558352,0.0002714695830065032,86.80874487871381,66.57534331934853,11.835616590106406
14.200000000000001,0.02579103229379226,0.7636764508550826,0.0,-2.019605346392213,1.0001687093618379,0.0002719443101558352,0.0002714695830065032,86.80874487871381,66.57534331934853,11.835616590106406
14.22,0.025361890423041232,0.7279417330649727,0.0,-2.019605346392213,1.0001687093618379,0.0002719443101558352,0.0002714695830065032,86.80874487871381,66.57534331934853,11.835616590106406
14.24,0.024881875450820944,0.5873891264565457,0.0,-2.0165885502650966,0.9994543938708684,0.0002703386273453933,0.0002699926041161049,82.9951150287374,66.89301745423758,11.89209199186446
